section,gender,type,count
131202023,H,students_age_15_19,14.0
131202023,H,students_age_20_24,12.0
131202023,H,housestay,2.0
131202023,H,reformed,120.0
131202023,H,children_under_10,30.0
131202023,H,undemployed,66.0
131216025,M,worker_1st_sector,2.0
131216025,M,worker_2nd_sector,16.0
131216025,M,worker_3rd_sector,200.0
131216025,M,autonomous_or_employer,13.0
131216025,M,students_age_10_14,15.0
131216025,M,students_age_15_19,19.0
131216025,M,students_age_20_24,19.0
131216025,M,housestay,31.0
131216025,M,reformed,135.0
131216025,M,children_under_10,36.0
131216025,M,undemployed,74.0
131216025,H,worker_1st_sector,5.0
131216025,H,worker_2nd_sector,34.0
131216025,H,worker_3rd_sector,166.0
131216025,H,autonomous_or_employer,10.0
131216025,H,students_age_10_14,19.0
131216025,H,students_age_15_19,24.0
131216025,H,students_age_20_24,22.0
131216025,H,housestay,2.0
131216025,H,reformed,94.0
131216025,H,children_under_10,35.0
131216025,H,undemployed,53.0
131216019,M,worker_1st_sector,0.0
131216019,M,worker_2nd_sector,30.0
131216019,M,worker_3rd_sector,258.0
131216019,M,autonomous_or_employer,41.0
131216019,M,students_age_10_14,26.0
131216019,M,students_age_15_19,23.0
131216019,M,students_age_20_24,16.0
131216019,M,housestay,26.0
131216019,M,reformed,147.0
131216019,M,children_under_10,53.0
131216019,M,undemployed,106.0
131216019,H,worker_1st_sector,3.0
131216019,H,worker_2nd_sector,55.0
131216019,H,worker_3rd_sector,230.0
131216019,H,autonomous_or_employer,26.0
131216019,H,students_age_10_14,20.0
131216019,H,students_age_15_19,17.0
131216019,H,students_age_20_24,23.0
131216019,H,housestay,1.0
131216019,H,reformed,104.0
131216019,H,children_under_10,79.0
131216019,H,undemployed,92.0
131218017,M,worker_1st_sector,0.0
131218017,M,worker_2nd_sector,19.0
131218017,M,worker_3rd_sector,283.0
131218017,M,autonomous_or_employer,51.0
131218017,M,students_age_10_14,28.0
131218017,M,students_age_15_19,22.0
131218017,M,students_age_20_24,18.0
131218017,M,housestay,37.0
131218017,M,reformed,189.0
131218017,M,children_under_10,80.0
131218017,M,undemployed,202.0
131218017,H,worker_1st_sector,2.0
131218017,H,worker_2nd_sector,75.0
131218017,H,worker_3rd_sector,241.0
131218017,H,autonomous_or_employer,46.0
131218017,H,students_age_10_14,24.0
131218017,H,students_age_15_19,22.0
131218017,H,students_age_20_24,25.0
131218017,H,housestay,2.0
131218017,H,reformed,153.0
131218017,H,children_under_10,87.0
131218017,H,undemployed,145.0
131211014,M,worker_1st_sector,1.0
131211014,M,worker_2nd_sector,17.0
131211014,M,worker_3rd_sector,184.0
131211014,M,autonomous_or_employer,11.0
131211014,M,students_age_10_14,4.0
131211014,M,students_age_15_19,6.0
131211014,M,students_age_20_24,4.0
131211014,M,housestay,13.0
131211014,M,reformed,51.0
131211014,M,children_under_10,58.0
131211014,M,undemployed,31.0
131211014,H,worker_1st_sector,2.0
131211014,H,worker_2nd_sector,36.0
131211014,H,worker_3rd_sector,161.0
131211014,H,autonomous_or_employer,8.0
131211014,H,students_age_10_14,4.0
131211014,H,students_age_15_19,4.0
131211014,H,students_age_20_24,5.0
131211014,H,housestay,0.0
131211014,H,reformed,44.0
131211014,H,children_under_10,41.0
131211014,H,undemployed,26.0
131211019,M,worker_1st_sector,0.0
131211019,M,worker_2nd_sector,25.0
131211019,M,worker_3rd_sector,265.0
131211019,M,autonomous_or_employer,46.0
131211019,M,students_age_10_14,13.0
131211019,M,students_age_15_19,14.0
131211019,M,students_age_20_24,14.0
131211019,M,housestay,20.0
131211019,M,reformed,137.0
131211019,M,children_under_10,48.0
131211019,M,undemployed,100.0
131211019,H,worker_1st_sector,0.0
131211019,H,worker_2nd_sector,63.0
131211019,H,worker_3rd_sector,215.0
131211019,H,autonomous_or_employer,40.0
131211019,H,students_age_10_14,14.0
131211019,H,students_age_15_19,16.0
131211019,H,students_age_20_24,18.0
131211019,H,housestay,1.0
131211019,H,reformed,109.0
131211019,H,children_under_10,47.0
131211019,H,undemployed,80.0
131216023,M,worker_1st_sector,1.0
131216023,M,worker_2nd_sector,22.0
131216023,M,worker_3rd_sector,196.0
131216023,M,autonomous_or_employer,13.0
131216023,M,students_age_10_14,14.0
131216023,M,students_age_15_19,13.0
131216023,M,students_age_20_24,13.0
131216023,M,housestay,29.0
131216023,M,reformed,159.0
131216023,M,children_under_10,38.0
131216023,M,undemployed,71.0
131216023,H,worker_1st_sector,3.0
131216023,H,worker_2nd_sector,45.0
131216023,H,worker_3rd_sector,168.0
131216023,H,autonomous_or_employer,17.0
131216023,H,students_age_10_14,6.0
131216023,H,students_age_15_19,14.0
131216023,H,students_age_20_24,16.0
131216023,H,housestay,2.0
131216023,H,reformed,109.0
131216023,H,children_under_10,33.0
131216023,H,undemployed,41.0
131210049,M,worker_1st_sector,1.0
131210049,M,worker_2nd_sector,17.0
131210049,M,worker_3rd_sector,249.0
131210049,M,autonomous_or_employer,48.0
131210049,M,students_age_10_14,9.0
131210049,M,students_age_15_19,9.0
131210049,M,students_age_20_24,16.0
131210049,M,housestay,23.0
131210049,M,reformed,143.0
131210049,M,children_under_10,32.0
131210049,M,undemployed,81.0
131210049,H,worker_1st_sector,2.0
131210049,H,worker_2nd_sector,52.0
131210049,H,worker_3rd_sector,174.0
131210049,H,autonomous_or_employer,41.0
131210049,H,students_age_10_14,8.0
131210049,H,students_age_15_19,8.0
131210049,H,students_age_20_24,16.0
131210049,H,housestay,4.0
131210049,H,reformed,103.0
131210049,H,children_under_10,43.0
131210049,H,undemployed,56.0
131217042,M,worker_1st_sector,0.0
131217042,M,worker_2nd_sector,16.0
131217042,M,worker_3rd_sector,215.0
131217042,M,autonomous_or_employer,34.0
131217042,M,students_age_10_14,9.0
131217042,M,students_age_15_19,18.0
131217042,M,students_age_20_24,24.0
131217042,M,housestay,25.0
131217042,M,reformed,155.0
131217042,M,children_under_10,26.0
131217042,M,undemployed,77.0
131217042,H,worker_1st_sector,1.0
131217042,H,worker_2nd_sector,42.0
131217042,H,worker_3rd_sector,184.0
131217042,H,autonomous_or_employer,32.0
131217042,H,students_age_10_14,5.0
131217042,H,students_age_15_19,6.0
131217042,H,students_age_20_24,11.0
131217042,H,housestay,2.0
131217042,H,reformed,89.0
131217042,H,children_under_10,33.0
131217042,H,undemployed,40.0
131202018,M,worker_1st_sector,1.0
131202018,M,worker_2nd_sector,15.0
131202018,M,worker_3rd_sector,186.0
131202018,M,autonomous_or_employer,28.0
131202018,M,students_age_10_14,5.0
131202018,M,students_age_15_19,4.0
131202018,M,students_age_20_24,12.0
131202018,M,housestay,14.0
131202018,M,reformed,149.0
131202018,M,children_under_10,26.0
131202018,M,undemployed,49.0
131202018,H,worker_1st_sector,0.0
131202018,H,worker_2nd_sector,34.0
131202018,H,worker_3rd_sector,140.0
131202018,H,autonomous_or_employer,30.0
131202018,H,students_age_10_14,9.0
131202018,H,students_age_15_19,11.0
131202018,H,students_age_20_24,16.0
131202018,H,housestay,1.0
131202018,H,reformed,74.0
131202018,H,children_under_10,26.0
131202018,H,undemployed,47.0
131202019,M,worker_1st_sector,0.0
131202019,M,worker_2nd_sector,14.0
131202019,M,worker_3rd_sector,237.0
131202019,M,autonomous_or_employer,17.0
131202019,M,students_age_10_14,11.0
131202019,M,students_age_15_19,16.0
131202019,M,students_age_20_24,25.0
131202019,M,housestay,27.0
131202019,M,reformed,152.0
131202019,M,children_under_10,35.0
131202019,M,undemployed,62.0
131202019,H,worker_1st_sector,2.0
131202019,H,worker_2nd_sector,29.0
131202019,H,worker_3rd_sector,193.0
131202019,H,autonomous_or_employer,19.0
131202019,H,students_age_10_14,9.0
131202019,H,students_age_15_19,18.0
131202019,H,students_age_20_24,22.0
131202019,H,housestay,1.0
131202019,H,reformed,102.0
131202019,H,children_under_10,40.0
131202019,H,undemployed,33.0
131210015,M,worker_1st_sector,0.0
131210015,M,worker_2nd_sector,9.0
131210015,M,worker_3rd_sector,140.0
131210015,M,autonomous_or_employer,31.0
131210015,M,students_age_10_14,4.0
131210015,M,students_age_15_19,4.0
131210015,M,students_age_20_24,12.0
131210015,M,housestay,21.0
131210015,M,reformed,119.0
131210015,M,children_under_10,29.0
131210015,M,undemployed,46.0
131210015,H,worker_1st_sector,0.0
131210015,H,worker_2nd_sector,28.0
131210015,H,worker_3rd_sector,117.0
131210015,H,autonomous_or_employer,26.0
131210015,H,students_age_10_14,5.0
131210015,H,students_age_15_19,6.0
131210015,H,students_age_20_24,13.0
131210015,H,housestay,2.0
131210015,H,reformed,75.0
131210015,H,children_under_10,22.0
131210015,H,undemployed,37.0
131210012,M,worker_1st_sector,1.0
131210012,M,worker_2nd_sector,13.0
131210012,M,worker_3rd_sector,142.0
131210012,M,autonomous_or_employer,24.0
131210012,M,students_age_10_14,4.0
131210012,M,students_age_15_19,7.0
131210012,M,students_age_20_24,9.0
131210012,M,housestay,15.0
131210012,M,reformed,122.0
131210012,M,children_under_10,19.0
131210012,M,undemployed,47.0
131210012,H,worker_1st_sector,0.0
131210012,H,worker_2nd_sector,30.0
131210012,H,worker_3rd_sector,105.0
131210012,H,autonomous_or_employer,26.0
131210012,H,students_age_10_14,7.0
131210012,H,students_age_15_19,3.0
131210012,H,students_age_20_24,6.0
131210012,H,housestay,0.0
131210012,H,reformed,97.0
131210012,H,children_under_10,27.0
131210012,H,undemployed,47.0
131210037,M,worker_1st_sector,0.0
131210037,M,worker_2nd_sector,8.0
131210037,M,worker_3rd_sector,81.0
131210037,M,autonomous_or_employer,7.0
131210037,M,students_age_10_14,5.0
131210037,M,students_age_15_19,7.0
131210037,M,students_age_20_24,7.0
131210037,M,housestay,10.0
131210037,M,reformed,107.0
131210037,M,children_under_10,9.0
131210037,M,undemployed,29.0
131210037,H,worker_1st_sector,0.0
131210037,H,worker_2nd_sector,19.0
131210037,H,worker_3rd_sector,65.0
131210037,H,autonomous_or_employer,11.0
131210037,H,students_age_10_14,4.0
131210037,H,students_age_15_19,5.0
131210037,H,students_age_20_24,4.0
131210037,H,housestay,0.0
131210037,H,reformed,65.0
131210037,H,children_under_10,11.0
131210037,H,undemployed,24.0
131210040,M,worker_1st_sector,0.0
131210040,M,worker_2nd_sector,17.0
131210040,M,worker_3rd_sector,218.0
131210040,M,autonomous_or_employer,8.0
131210040,M,students_age_10_14,7.0
131210040,M,students_age_15_19,12.0
131210040,M,students_age_20_24,19.0
131210040,M,housestay,12.0
131210040,M,reformed,40.0
131210040,M,children_under_10,29.0
131210040,M,undemployed,33.0
131210040,H,worker_1st_sector,0.0
131210040,H,worker_2nd_sector,38.0
131210040,H,worker_3rd_sector,202.0
131210040,H,autonomous_or_employer,9.0
131210040,H,students_age_10_14,4.0
131210040,H,students_age_15_19,7.0
131210040,H,students_age_20_24,18.0
131210040,H,housestay,0.0
131210040,H,reformed,24.0
131210040,H,children_under_10,31.0
131210040,H,undemployed,32.0
131202024,M,worker_1st_sector,0.0
131202024,M,worker_2nd_sector,11.0
131202024,M,worker_3rd_sector,102.0
131202024,M,autonomous_or_employer,18.0
131202024,M,students_age_10_14,4.0
131202024,M,students_age_15_19,4.0
131202024,M,students_age_20_24,5.0
131202024,M,housestay,5.0
131202024,M,reformed,63.0
131202024,M,children_under_10,13.0
131202024,M,undemployed,27.0
131202024,H,worker_1st_sector,0.0
131202024,H,worker_2nd_sector,14.0
131202024,H,worker_3rd_sector,85.0
131202024,H,autonomous_or_employer,12.0
131202024,H,students_age_10_14,1.0
131202024,H,students_age_15_19,3.0
131202024,H,students_age_20_24,5.0
131202024,H,housestay,0.0
131202024,H,reformed,47.0
131202024,H,children_under_10,13.0
131202024,H,undemployed,26.0
131217031,M,worker_1st_sector,0.0
131217031,M,worker_2nd_sector,8.0
131217031,M,worker_3rd_sector,129.0
131217031,M,autonomous_or_employer,22.0
131217031,M,students_age_10_14,7.0
131217031,M,students_age_15_19,6.0
131217031,M,students_age_20_24,10.0
131217031,M,housestay,4.0
131217031,M,reformed,88.0
131217031,M,children_under_10,20.0
131217031,M,undemployed,38.0
131217031,H,worker_1st_sector,0.0
131217031,H,worker_2nd_sector,15.0
131217031,H,worker_3rd_sector,101.0
131217031,H,autonomous_or_employer,24.0
131217031,H,students_age_10_14,6.0
131217031,H,students_age_15_19,4.0
131217031,H,students_age_20_24,6.0
131217031,H,housestay,2.0
131217031,H,reformed,44.0
131217031,H,children_under_10,15.0
131217031,H,undemployed,37.0
131217009,M,worker_1st_sector,0.0
131217009,M,worker_2nd_sector,7.0
131217009,M,worker_3rd_sector,112.0
131217009,M,autonomous_or_employer,18.0
131217009,M,students_age_10_14,4.0
131217009,M,students_age_15_19,3.0
131217009,M,students_age_20_24,8.0
131217009,M,housestay,10.0
131217009,M,reformed,93.0
131217009,M,children_under_10,11.0
131217009,M,undemployed,53.0
131217009,H,worker_1st_sector,0.0
131217009,H,worker_2nd_sector,18.0
131217009,H,worker_3rd_sector,107.0
131217009,H,autonomous_or_employer,23.0
131217009,H,students_age_10_14,3.0
131217009,H,students_age_15_19,4.0
131217009,H,students_age_20_24,9.0
131217009,H,housestay,1.0
131217009,H,reformed,77.0
131217009,H,children_under_10,27.0
131217009,H,undemployed,60.0
131202016,M,worker_1st_sector,0.0
131202016,M,worker_2nd_sector,11.0
131202016,M,worker_3rd_sector,135.0
131202016,M,autonomous_or_employer,24.0
131202016,M,students_age_10_14,7.0
131202016,M,students_age_15_19,6.0
131202016,M,students_age_20_24,8.0
131202016,M,housestay,19.0
131202016,M,reformed,119.0
131202016,M,children_under_10,22.0
131202016,M,undemployed,56.0
131202016,H,worker_1st_sector,5.0
131202016,H,worker_2nd_sector,23.0
131202016,H,worker_3rd_sector,117.0
131202016,H,autonomous_or_employer,26.0
131202016,H,students_age_10_14,3.0
131202016,H,students_age_15_19,4.0
131202016,H,students_age_20_24,6.0
131202016,H,housestay,2.0
131202016,H,reformed,72.0
131202016,H,children_under_10,23.0
131202016,H,undemployed,34.0
131203027,M,worker_1st_sector,0.0
131203027,M,worker_2nd_sector,9.0
131203027,M,worker_3rd_sector,117.0
131203027,M,autonomous_or_employer,21.0
131203027,M,students_age_10_14,4.0
131203027,M,students_age_15_19,4.0
131203027,M,students_age_20_24,6.0
131203027,M,housestay,13.0
131203027,M,reformed,94.0
131203027,M,children_under_10,21.0
131203027,M,undemployed,48.0
131203027,H,worker_1st_sector,0.0
131203027,H,worker_2nd_sector,32.0
131203027,H,worker_3rd_sector,98.0
131203027,H,autonomous_or_employer,21.0
131203027,H,students_age_10_14,4.0
131203027,H,students_age_15_19,3.0
131203027,H,students_age_20_24,5.0
131203027,H,housestay,0.0
131203027,H,reformed,73.0
131203027,H,children_under_10,20.0
131203027,H,undemployed,47.0
131217002,M,worker_1st_sector,0.0
131217002,M,worker_2nd_sector,10.0
131217002,M,worker_3rd_sector,100.0
131217002,M,autonomous_or_employer,16.0
131217002,M,students_age_10_14,3.0
131217002,M,students_age_15_19,2.0
131217002,M,students_age_20_24,6.0
131217002,M,housestay,10.0
131217002,M,reformed,47.0
131217002,M,children_under_10,12.0
131217002,M,undemployed,29.0
131217002,H,worker_1st_sector,1.0
131217002,H,worker_2nd_sector,19.0
131217002,H,worker_3rd_sector,101.0
131217002,H,autonomous_or_employer,13.0
131217002,H,students_age_10_14,2.0
131217002,H,students_age_15_19,3.0
131217002,H,students_age_20_24,10.0
131217002,H,housestay,0.0
131217002,H,reformed,37.0
131217002,H,children_under_10,14.0
131217002,H,undemployed,24.0
131211008,M,worker_1st_sector,1.0
131211008,M,worker_2nd_sector,28.0
131211008,M,worker_3rd_sector,319.0
131211008,M,autonomous_or_employer,42.0
131211008,M,students_age_10_14,16.0
131211008,M,students_age_15_19,17.0
131211008,M,students_age_20_24,13.0
131211008,M,housestay,22.0
131211008,M,reformed,185.0
131211008,M,children_under_10,65.0
131211008,M,undemployed,83.0
131211008,H,worker_1st_sector,3.0
131211008,H,worker_2nd_sector,57.0
131211008,H,worker_3rd_sector,252.0
131211008,H,autonomous_or_employer,30.0
131211008,H,students_age_10_14,16.0
131211008,H,students_age_15_19,11.0
131211008,H,students_age_20_24,12.0
131211008,H,housestay,0.0
131211008,H,reformed,153.0
131211008,H,children_under_10,54.0
131211008,H,undemployed,68.0
131217044,M,worker_1st_sector,0.0
131217044,M,worker_2nd_sector,15.0
131217044,M,worker_3rd_sector,171.0
131217044,M,autonomous_or_employer,26.0
131217044,M,students_age_10_14,9.0
131217044,M,students_age_15_19,5.0
131217044,M,students_age_20_24,8.0
131217044,M,housestay,12.0
131217044,M,reformed,123.0
131217044,M,children_under_10,20.0
131217044,M,undemployed,51.0
131217044,H,worker_1st_sector,2.0
131217044,H,worker_2nd_sector,31.0
131217044,H,worker_3rd_sector,126.0
131217044,H,autonomous_or_employer,23.0
131217044,H,students_age_10_14,6.0
131217044,H,students_age_15_19,8.0
131217044,H,students_age_20_24,6.0
131217044,H,housestay,2.0
131217044,H,reformed,75.0
131217044,H,children_under_10,23.0
131217044,H,undemployed,35.0
131217021,M,worker_1st_sector,1.0
131217021,M,worker_2nd_sector,10.0
131217021,M,worker_3rd_sector,185.0
131217021,M,autonomous_or_employer,38.0
131217021,M,students_age_10_14,11.0
131217021,M,students_age_15_19,11.0
131217021,M,students_age_20_24,19.0
131217021,M,housestay,24.0
131217021,M,reformed,141.0
131217021,M,children_under_10,31.0
131217021,M,undemployed,53.0
131217021,H,worker_1st_sector,1.0
131217021,H,worker_2nd_sector,30.0
131217021,H,worker_3rd_sector,157.0
131217021,H,autonomous_or_employer,17.0
131217021,H,students_age_10_14,8.0
131217021,H,students_age_15_19,8.0
131217021,H,students_age_20_24,9.0
131217021,H,housestay,0.0
131217021,H,reformed,90.0
131217021,H,children_under_10,41.0
131217021,H,undemployed,50.0
131217046,M,worker_1st_sector,0.0
131217046,M,worker_2nd_sector,18.0
131217046,M,worker_3rd_sector,248.0
131217046,M,autonomous_or_employer,28.0
131217046,M,students_age_10_14,13.0
131217046,M,students_age_15_19,15.0
131217046,M,students_age_20_24,18.0
131217046,M,housestay,20.0
131217046,M,reformed,220.0
131217046,M,children_under_10,37.0
131217046,M,undemployed,75.0
131217046,H,worker_1st_sector,0.0
131217046,H,worker_2nd_sector,50.0
131217046,H,worker_3rd_sector,191.0
131217046,H,autonomous_or_employer,29.0
131217046,H,students_age_10_14,8.0
131217046,H,students_age_15_19,18.0
131217046,H,students_age_20_24,15.0
131217046,H,housestay,2.0
131217046,H,reformed,136.0
131217046,H,children_under_10,38.0
131217046,H,undemployed,52.0
131203026,M,worker_1st_sector,0.0
131203026,M,worker_2nd_sector,19.0
131203026,M,worker_3rd_sector,143.0
131203026,M,autonomous_or_employer,30.0
131203026,M,students_age_10_14,5.0
131203026,M,students_age_15_19,4.0
131203026,M,students_age_20_24,6.0
131203026,M,housestay,16.0
131203026,M,reformed,153.0
131203026,M,children_under_10,28.0
131203026,M,undemployed,58.0
131203026,H,worker_1st_sector,1.0
131203026,H,worker_2nd_sector,48.0
131203026,H,worker_3rd_sector,126.0
131203026,H,autonomous_or_employer,25.0
131203026,H,students_age_10_14,10.0
131203026,H,students_age_15_19,7.0
131203026,H,students_age_20_24,13.0
131203026,H,housestay,0.0
131203026,H,reformed,119.0
131203026,H,children_under_10,37.0
131203026,H,undemployed,65.0
131203015,M,worker_1st_sector,0.0
131203015,M,worker_2nd_sector,17.0
131203015,M,worker_3rd_sector,191.0
131203015,M,autonomous_or_employer,45.0
131203015,M,students_age_10_14,9.0
131203015,M,students_age_15_19,11.0
131203015,M,students_age_20_24,14.0
131203015,M,housestay,14.0
131203015,M,reformed,234.0
131203015,M,children_under_10,49.0
131203015,M,undemployed,101.0
131203015,H,worker_1st_sector,2.0
131203015,H,worker_2nd_sector,44.0
131203015,H,worker_3rd_sector,124.0
131203015,H,autonomous_or_employer,45.0
131203015,H,students_age_10_14,8.0
131203015,H,students_age_15_19,12.0
131203015,H,students_age_20_24,15.0
131203015,H,housestay,2.0
131203015,H,reformed,165.0
131203015,H,children_under_10,35.0
131203015,H,undemployed,78.0
131203012,M,worker_1st_sector,0.0
131203012,M,worker_2nd_sector,17.0
131203012,M,worker_3rd_sector,96.0
131203012,M,autonomous_or_employer,13.0
131203012,M,students_age_10_14,6.0
131203012,M,students_age_15_19,4.0
131203012,M,students_age_20_24,4.0
131203012,M,housestay,20.0
131203012,M,reformed,115.0
131203012,M,children_under_10,16.0
131203012,M,undemployed,40.0
131203012,H,worker_1st_sector,1.0
131203012,H,worker_2nd_sector,32.0
131203012,H,worker_3rd_sector,87.0
131203012,H,autonomous_or_employer,17.0
131203012,H,students_age_10_14,3.0
131203012,H,students_age_15_19,2.0
131203012,H,students_age_20_24,3.0
131203012,H,housestay,0.0
131203012,H,reformed,105.0
131203012,H,children_under_10,19.0
131203012,H,undemployed,32.0
131210026,M,worker_1st_sector,1.0
131210026,M,worker_2nd_sector,13.0
131210026,M,worker_3rd_sector,158.0
131210026,M,autonomous_or_employer,31.0
131210026,M,students_age_10_14,4.0
131210026,M,students_age_15_19,11.0
131210026,M,students_age_20_24,18.0
131210026,M,housestay,17.0
131210026,M,reformed,128.0
131210026,M,children_under_10,27.0
131210026,M,undemployed,51.0
131210026,H,worker_1st_sector,1.0
131210026,H,worker_2nd_sector,28.0
131210026,H,worker_3rd_sector,143.0
131210026,H,autonomous_or_employer,26.0
131210026,H,students_age_10_14,5.0
131210026,H,students_age_15_19,6.0
131210026,H,students_age_20_24,10.0
131210026,H,housestay,1.0
131210026,H,reformed,79.0
131210026,H,children_under_10,23.0
131210026,H,undemployed,41.0
131210035,M,worker_1st_sector,0.0
131210035,M,worker_2nd_sector,11.0
131210035,M,worker_3rd_sector,136.0
131210035,M,autonomous_or_employer,16.0
131210035,M,students_age_10_14,9.0
131210035,M,students_age_15_19,12.0
131210035,M,students_age_20_24,9.0
131210035,M,housestay,14.0
131210035,M,reformed,95.0
131210035,M,children_under_10,14.0
131210035,M,undemployed,36.0
131210035,H,worker_1st_sector,2.0
131210035,H,worker_2nd_sector,29.0
131210035,H,worker_3rd_sector,111.0
131210035,H,autonomous_or_employer,17.0
131210035,H,students_age_10_14,5.0
131210035,H,students_age_15_19,11.0
131210035,H,students_age_20_24,12.0
131210035,H,housestay,1.0
131210035,H,reformed,65.0
131210035,H,children_under_10,20.0
131210035,H,undemployed,31.0
131218001,M,worker_1st_sector,0.0
131218001,M,worker_2nd_sector,21.0
131218001,M,worker_3rd_sector,237.0
131218001,M,autonomous_or_employer,21.0
131218001,M,students_age_10_14,11.0
131218001,M,students_age_15_19,9.0
131218001,M,students_age_20_24,11.0
131218001,M,housestay,22.0
